Index,Sequence,label,Start_time,End_time,output,conv1,conv2,conv3
6759,94 314 191 94 314 191,0,2005-08-10-05.42.41.200612,2005-08-10 05:42:41.425463,"6.085187911987305,-5.612995147705078","0.0,5.107659816741943,0.6730313897132874,0.0,6.5375285148620605,3.261017322540283,3.3642375469207764,1.7033512592315674,0.0,3.355783700942993,0.0,4.0831756591796875,0.0,5.510663986206055,3.5339341163635254,0.0","0.0,0.0,0.0,0.0,3.2156245708465576,0.0,0.0,3.460991382598877,0.0,2.7733569145202637,0.0,0.0,5.914813041687012,7.402876853942871,0.0,5.6979570388793945","0.0,5.084114074707031,0.0,0.0,7.974274635314941,3.4648211002349854,0.0,0.0,8.694695472717285,0.0,4.3115363121032715,0.0,1.089638113975525,3.717923879623413,6.347551345825195,4.36483907699585"
8763,35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35,0,2005-09-09-20.40.26.280113,2005-09-09 20:40:41.767907,"5.387983798980713,-5.015040397644043","0.0,4.931200981140137,0.61806321144104,0.0,6.3067402839660645,2.942586660385132,3.1838974952697754,1.4664182662963867,0.0,2.584141731262207,0.0,3.359579086303711,0.0,4.365540981292725,3.537029266357422,0.0","0.0,0.0,0.0,0.0,2.903341054916382,0.0,0.0,3.308236598968506,0.0,2.6519529819488525,0.0,0.0,5.558861255645752,5.994383335113525,0.0,5.150039196014404","0.0,5.028628826141357,0.0,0.0,5.645403861999512,3.1794848442077637,0.0,0.0,8.066060066223145,0.0,4.195982933044434,0.0,0.9902099967002869,2.6367313861846924,5.278187274932861,4.005601406097412"
8349,118 118 118 118 118 118 118 118,0,2005-09-03-05.28.13.539022,2005-09-03 05:28:13.734602,"6.015870094299316,-5.537240028381348","0.0,4.994629859924316,0.5726571679115295,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.689831018447876,0.0,3.1787497997283936,0.0,4.0311598777771,0.0,5.258883953094482,3.472972869873047,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,7.261617183685303,0.0,5.605162143707275","0.0,5.130070686340332,0.0,0.0,7.771749496459961,3.6175143718719482,0.0,0.0,8.564695358276367,0.0,4.3828558921813965,0.0,0.9364176392555237,3.7104809284210205,6.2774248123168945,4.155723571777344"
8880,314 314 191 314 191 314 191 314 314 191 191 191 314 191 314 314 70 191 314 314 314 191 191 191 314 314 191 191 314 191 191 314 314 191 314 314 314 314 314 314 314 314 314 70 94 314 191 314 314 314 314 314 314 314 314 70 314 191 191 314 314 314 191 314 191 314 314 314 314 314 314 191 191 70 94 314 314 314 314 314 314 314 314 314 70 314 191 314 314 314 314 314 314 314 314 191 70 314 314 191 191 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 191 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 191 314 191 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 191 191 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314,0,2005-09-12-21.41.38.254670,2005-09-12 21:42:07.231307,"6.060128688812256,-5.692092418670654","0.0,5.572352409362793,0.9715626835823059,0.0,7.364806652069092,3.461054801940918,3.519571542739868,1.7317456007003784,0.0,3.2824625968933105,0.0,4.061830520629883,0.0,5.55140495300293,3.620593547821045,0.0","0.0,0.0,0.0,0.0,2.8305234909057617,0.0,0.0,3.673682451248169,0.0,2.4780352115631104,0.0,0.0,6.063899517059326,7.1109771728515625,0.0,6.0667853355407715","0.0,5.468567848205566,0.0,0.036085158586502075,6.96462869644165,3.4132237434387207,0.0,0.0,8.883779525756836,0.0,4.7293829917907715,0.0,1.1696436405181885,3.117927312850952,5.799959659576416,4.519566535949707"
8569,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-06-12.34.26.262727,2005-09-06 12:34:47.453545,"-5.692512512207031,3.966958522796631","2.197356939315796,0.0,0.0,2.7138099670410156,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.96219801902771,0.0,2.986708164215088,0.0,0.0,5.0122528076171875","3.533602714538574,5.250320911407471,6.149456977844238,2.0803048610687256,0.0,6.457988262176514,5.499523162841797,0.0,4.425166606903076,0.0,2.632080554962158,8.007068634033203,0.0,0.0,2.7422335147857666,0.0","2.5265274047851562,0.0,3.6828343868255615,0.0,0.0,0.0,2.5253491401672363,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
8921,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 211 211 276 276 211 211 276 276 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-13-12.51.56.847089,2005-09-13 12:52:26.231906,"-5.692512512207031,3.966958522796631","2.197356939315796,0.0,0.0,2.7138099670410156,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.96219801902771,0.0,2.986708164215088,0.0,0.0,5.0122528076171875","3.533602714538574,5.250320911407471,6.149456977844238,2.0803048610687256,0.0,6.457988262176514,5.499523162841797,0.0,4.425166606903076,0.0,2.632080554962158,8.007068634033203,0.0,0.0,2.7422335147857666,0.0","2.5265274047851562,0.0,3.6828343868255615,0.0,0.0,0.0,2.5253491401672363,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
8949,218 218 70 70 94 70 99 314 99 99 191,0,2005-09-15-10.13.03.610548,2005-09-15 10:13:04.321563,"5.873103618621826,-5.4641642570495605","0.0,4.978385925292969,0.8051850199699402,0.0,6.542192459106445,2.9261531829833984,3.0475878715515137,1.729149341583252,0.0,3.350770950317383,0.0,4.167383670806885,0.0,5.563040256500244,3.4747707843780518,0.0","0.0,0.0,0.0,0.0,2.6415536403656006,0.0,0.0,3.2651901245117188,0.0,2.396254539489746,0.0,0.0,5.4162983894348145,7.517167568206787,0.0,5.731039047241211","0.0,5.108918190002441,0.0,0.0,8.034510612487793,3.5604262351989746,0.0,0.0,8.754979133605957,0.0,4.102077007293701,0.0,1.0928683280944824,3.684192180633545,6.328556060791016,3.86057448387146"
8963,218 70 218 94 94 94 94 99 314 314 314 314 191 191 191 191,0,2005-09-15-23.00.11.124392,2005-09-15 23:00:12.770264,"6.401341915130615,-5.961704254150391","0.0,5.6189374923706055,0.919245719909668,0.0,7.419594764709473,3.512310743331909,3.5873873233795166,1.8480610847473145,0.0,3.467620849609375,0.0,4.210602760314941,0.0,5.798432350158691,3.478760004043579,0.0","0.0,0.0,0.0,0.0,2.6222028732299805,0.0,0.0,3.8466718196868896,0.0,2.4239907264709473,0.0,0.0,6.423861026763916,7.991065979003906,0.0,6.303802490234375","0.0,5.672166347503662,0.0,0.022160205990076065,8.23143196105957,3.7320852279663086,0.0,0.0,9.39590072631836,0.0,4.858470439910889,0.0,1.1721959114074707,3.780468702316284,6.720404148101807,4.597772121429443"
8789,94 94 94 314 314 314 191 191 191,0,2005-09-10-05.31.59.233283,2005-09-10 05:32:00.089617,"6.48504638671875,-5.9350457191467285","0.0,5.684843063354492,0.7729350328445435,0.0,7.50390625,3.566819190979004,3.7032179832458496,1.8626755475997925,0.0,3.4640753269195557,0.0,4.161633491516113,0.0,5.771032333374023,3.4223897457122803,0.0","0.0,0.0,0.0,0.0,3.147512674331665,0.0,0.0,3.7650113105773926,0.0,3.0482985973358154,0.0,0.0,6.122523307800293,7.947789192199707,0.0,6.3563103675842285","0.0,5.6113739013671875,0.0,0.10263189673423767,8.227473258972168,3.7531142234802246,0.0,0.0,9.218823432922363,0.0,4.723853588104248,0.0,1.268812656402588,3.789743185043335,6.759400367736816,4.424421310424805"
8778,94 94 94 94 314 314 94 314 314 314 314 314 191 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314,0,2005-09-10-00.38.39.126855,2005-09-10 00:38:45.896003,"5.548458099365234,-5.149199962615967","0.0,5.069051742553711,0.9212631583213806,0.0,6.269857406616211,3.047597885131836,3.5191776752471924,1.6342175006866455,0.0,2.7087316513061523,0.0,3.542435646057129,0.0,4.457937717437744,3.6148645877838135,0.0","0.0,0.0,0.0,0.0,3.162341833114624,0.0,0.0,3.40103816986084,0.0,2.9811458587646484,0.0,0.0,5.579802513122559,6.031586170196533,0.0,5.248706340789795","0.0,4.850345134735107,0.0,0.05950111150741577,5.801202297210693,3.2405810356140137,0.0,0.0,8.006621360778809,0.0,4.164783954620361,0.0,1.1848036050796509,2.662663698196411,5.3006744384765625,4.103704929351807"
7845,237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237,0,2005-08-28-02.30.50.262930,2005-08-28 02:31:26.207592,"2.938774585723877,-3.0888571739196777","0.0,2.7885074615478516,1.173937201499939,0.0,3.0250885486602783,1.6074501276016235,1.3665423393249512,0.7506938576698303,0.0,1.2690508365631104,0.0,2.2641990184783936,0.0,2.895052433013916,1.964705228805542,0.0","0.0,0.0,0.0,0.0,1.650896430015564,0.0,0.0,1.678644061088562,0.0,0.8374707698822021,0.0,0.0,2.7718396186828613,3.9461045265197754,0.0,3.0233230590820312","0.0,2.6878020763397217,0.0,0.0,4.612841606140137,1.7871743440628052,0.0,0.0,4.7675580978393555,0.0,2.1435370445251465,0.0,0.5116381645202637,1.4061764478683472,2.7495415210723877,2.624262809753418"
8829,94 94 218 218 314 314 191 191,0,2005-09-11-01.43.04.758936,2005-09-11 01:43:05.593022,"6.269326210021973,-5.754672527313232","0.0,5.316213130950928,0.8828652501106262,0.0,7.063235282897949,3.3505048751831055,3.3277993202209473,1.9230360984802246,0.0,3.441311836242676,0.0,4.166239261627197,0.0,5.752477645874023,3.441107988357544,0.0","0.0,0.0,0.0,0.0,3.1037588119506836,0.0,0.0,3.505429267883301,0.0,3.0714025497436523,0.0,0.0,5.730383396148682,7.935903549194336,0.0,6.13212776184082","0.0,5.306197643280029,0.0,0.2152838408946991,8.209465026855469,3.734348773956299,0.0,0.0,8.918472290039062,0.0,4.3964738845825195,0.0,1.3926633596420288,3.732431650161743,6.547749042510986,4.20321798324585"
