Index,Sequence,label,Start_time,End_time
8133,94 218 94 94 94 94 94 218 94 94 94 94 218 94 94 94 94 94 218 94 94 94 94 218 94 94 94 94 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 191 314 314 314 314 314 314 191 191 314 314 314 191 314 314 191 314 314 191 314 314 314 191 314 314 314 314 314 191 191 314 191 314 314 191 314 314 314 191 314 314 314 314 314 314 314 314 191 191 314 191 314 314 314 191 191 191 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 191,0,2005-09-01-08.10.01.961698,2005-09-01 08:10:09.415454
8134,259 167 259 167 259 167 259 167 259 167,0,2005-09-01-09.25.30.118362,2005-09-01 09:25:57.972236
8138,314 314 314 191 314 314 314 191 314 314 314 314 314 314 191 314 314 314 314 191 314 314 314 314 314 191 314 314 191 314 314 314 314 314 314 314 191 314 314 314 314 314 191 314 191 191 314 314 314 314 314 314 314 191 314 191 191 314 314 314 314 314 314 191 314 191 314 191 314 314 191 314 314 314 314 191 314 314 314 314 191 314 314 191 314 314 314 314 314 191 314 314 314 314 314 314 314 191 314 314 314 191 191 314 314 314 314 314 314 191 314 314 314 314 314 314 191 314 314 191 314 191 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 191 314 314 314 314 314 314 191 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 191 314 314 314 191 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314,0,2005-09-01-09.53.02.309625,2005-09-01 09:53:38.133810
8140,94 99 94 99 94 314 314 191 314 191 191,0,2005-09-01-09.57.52.004199,2005-09-01 09:57:52.574833
8142,27 264 276 276 276 276 276 276 276 276,1,2005-09-01-10.30.42.305289,2005-09-01 10:30:44.866180
8144,94 94 314 314 191 191,0,2005-09-01-12.13.21.248926,2005-09-01 12:13:21.798237
8145,94 94 94 314 314 314 191 191 191,0,2005-09-01-12.47.02.273514,2005-09-01 12:47:03.169341
8146,94 314 94 314 191 191 94 314 191,0,2005-09-01-13.00.06.847655,2005-09-01 13:00:07.720545
8147,46 46 46 46 46 46,0,2005-09-01-14.23.43.114509,2005-09-01 14:24:12.129840
8148,46 46 46 46 46 46,0,2005-09-01-14.24.18.062256,2005-09-01 14:24:46.989727
8150,259 167 259 167 259 167 259 167 259 167,0,2005-09-01-14.26.41.710024,2005-09-01 14:27:09.457670
8151,259 167 259 167 259 167 259 167 259 167,0,2005-09-01-14.27.16.230906,2005-09-01 14:27:44.036119
8152,259 167 259 167 259 167 259 167 259 167 45 45 45 45,0,2005-09-01-14.27.50.817698,2005-09-01 14:28:25.584156
8153,218 70 70 94 99 314 99 191,0,2005-09-01-15.28.39.560919,2005-09-01 15:28:41.125297
8154,94 63 70 314 63 191 119,0,2005-09-01-16.13.36.029758,2005-09-01 16:13:36.887353
8156,94 314 191 94 314 191,0,2005-09-01-17.41.21.618792,2005-09-01 17:41:32.189135
8159,94 218 314 63 191 70 63,0,2005-09-01-20.41.09.024682,2005-09-01 20:41:10.169780
8161,218 218 99 99 94 314 191,0,2005-09-01-23.41.23.352969,2005-09-01 23:41:24.021035
8162,70 70 70 70 94 70 70 314 99 99 191 99 99 99,0,2005-09-02-01.48.29.438175,2005-09-02 01:48:30.224232
8164,70 70 94 70 99 314 99 191,0,2005-09-02-04.10.58.174266,2005-09-02 04:10:59.012150
8165,94 94 314 314 191 191,0,2005-09-02-04.12.27.313538,2005-09-02 04:12:27.889616
8166,94 314 191 301 265 220 234 248 246 227 238 249 255 243 294 235 251 250 256 247 239 262 241 236 262 233 242 267 174 197 171 203 205 183 169 269 273 313 264,1,2005-09-02-05.33.55.583283,2005-09-02 05:34:04.799624
8169,218 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-05.53.44.395221,2005-09-02 05:53:55.224394
8176,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218,0,2005-09-02-06.02.05.883120,2005-09-02 06:02:35.041708
8177,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.03.08.988368,2005-09-02 06:03:10.703867
8180,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.04.26.391945,2005-09-02 06:04:26.978073
8181,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.05.22.236129,2005-09-02 06:05:36.669713
8182,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.06.32.607584,2005-09-02 06:06:40.494691
8184,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.08.46.562208,2005-09-02 06:09:00.695321
8185,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.09.21.496186,2005-09-02 06:09:25.941936
8186,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.09.56.890203,2005-09-02 06:10:26.204683
8187,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.10.26.234651,2005-09-02 06:10:27.725276
8188,94 314 191 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.11.09.255940,2005-09-02 06:11:20.983302
8189,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.11.43.146557,2005-09-02 06:11:48.004491
8190,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.12.24.264668,2005-09-02 06:12:48.845077
8192,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.14.44.183348,2005-09-02 06:15:09.470875
8193,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218,0,2005-09-02-06.15.54.990321,2005-09-02 06:16:20.852252
8194,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.16.58.862089,2005-09-02 06:17:00.402215
8195,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.17.12.399124,2005-09-02 06:17:30.376678
8196,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.18.15.319700,2005-09-02 06:18:33.934815
8197,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.19.18.594268,2005-09-02 06:19:20.205649
8198,94 314 191 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.19.27.955545,2005-09-02 06:19:45.743633
8200,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.20.42.496507,2005-09-02 06:20:46.609595
8202,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.21.53.294440,2005-09-02 06:21:58.067567
8203,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.22.41.738435,2005-09-02 06:22:43.709717
8204,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.23.03.351625,2005-09-02 06:23:08.056805
8206,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.24.14.249772,2005-09-02 06:24:17.555737
8207,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.24.55.572366,2005-09-02 06:25:24.791206
8209,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.26.20.028444,2005-09-02 06:26:34.536331
8212,118 118 118 118 118 118 118 118 118 118 118 118 94 118 118 314 118 118 191 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.28.06.087427,2005-09-02 06:28:21.623516
8213,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.28.34.014031,2005-09-02 06:28:56.007470
8215,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.29.44.617618,2005-09-02 06:30:06.060183
8216,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218,0,2005-09-02-06.30.26.288861,2005-09-02 06:30:44.503005
8219,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.32.05.192273,2005-09-02 06:32:19.330745
8221,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.33.22.008479,2005-09-02 06:33:28.756978
8223,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.34.31.847842,2005-09-02 06:34:46.102164
8224,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.35.14.290770,2005-09-02 06:35:24.805781
8225,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218,0,2005-09-02-06.35.41.850059,2005-09-02 06:36:11.787939
8227,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.36.59.820523,2005-09-02 06:37:15.032957
8229,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.38.02.334197,2005-09-02 06:38:38.151393
8235,94 94 314 314 191 191,0,2005-09-02-07.10.39.649221,2005-09-02 07:10:40.221911
8238,276 276 276 276 276 276 276 276,1,2005-09-02-11.20.25.511133,2005-09-02 11:20:26.163412
8241,94 94 314 314 191 191 94 314 314 314 191 94 94 314 94 191 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191,0,2005-09-02-12.13.07.922929,2005-09-02 12:13:14.798424
8243,99 99 94 94 94 94 314 314 314 314 191 191 191 314 314 314 314 314 314 314 191 94 314 191,0,2005-09-02-12.16.04.166061,2005-09-02 12:16:09.516573
8245,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-02-12.39.01.763282,2005-09-02 12:39:04.665709
8247,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-02-12.39.51.876772,2005-09-02 12:40:19.770555
8252,79 188 94 314 191 94 314 191 94 99 314 99 314 314 191 94 314 314 314 314 191,0,2005-09-02-13.11.06.970258,2005-09-02 13:11:25.576489
8254,99 94 94 94 314 314 314 191 191 314 314 314 314 314 314 314 314 314 314 94 314 94 314 314 191 314 314 191 191 94 314 191,0,2005-09-02-13.14.06.356018,2005-09-02 13:14:07.047112
8255,94 314 191 218 94 314 314 314 314 314 314 314 314 314 314 314 191,0,2005-09-02-13.15.15.541563,2005-09-02 13:15:22.638078
8256,94 94 314 314 314 314 314 191 191 94 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191,0,2005-09-02-13.16.27.698967,2005-09-02 13:16:36.580188
